poolAddress,date,tx_count,unique_users,pool_name,token0Symbol,token1Symbol,fee,fee_percentage,poolType,tx_count_3d_avg,tx_count_7d_avg,tx_count_7d_std,tx_count_cumulative,days_since_start,day_number,tx_growth_rate,target_tx_3d_ahead,target_tx_3d_avg_ahead,target_tx_7d_ahead,target_tx_7d_avg_ahead,stablecoin_pair_type,activity_level,pool_maturity,volatility_level
0x00cef0386ed94d738c8f8a74e8bfd0376926d24c,2025-03-01,20,19,Unknown Pool,TOKEN0,TOKEN1,500.0,0.0005,stablecoin,20.0,20.0,0.0,20.0,0.0,1.0,0.0,17.0,12.0,17.0,12.857142857142858,other,medium,new,
0x13394005c1012e708fce1eb974f1130fdc73a5ce,2025-03-01,15,15,Unknown Pool,TOKEN0,TOKEN1,500.0,0.0005,stablecoin,15.0,15.0,0.0,15.0,0.0,1.0,0.0,16.0,13.0,30.0,19.142857142857142,other,medium,new,
0x16980c16811bde2b3358c1ce4341541a4c772ec9,2025-03-01,5,5,Unknown Pool,TOKEN0,TOKEN1,500.0,0.0005,stablecoin,5.0,5.0,0.0,5.0,0.0,1.0,0.0,10.0,6.0,7.0,7.0,other,low,new,
0x2bc477c7c00511ec8a2ea667dd8210af9ff15e1d,2025-03-01,2,2,Unknown Pool,TOKEN0,TOKEN1,500.0,0.0005,stablecoin,2.0,2.0,0.0,2.0,0.0,1.0,0.0,6.0,4.0,16.0,27.714285714285715,other,low,new,
0x3416cf6c708da44db2624d63ea0aaef7113527c6,2025-03-01,2532,2507,USDC/USDT,USDC,USDT,100.0,0.0001,stablecoin,2532.0,2532.0,0.0,2532.0,0.0,1.0,0.0,2020.0,2039.0,2065.0,2234.714285714286,major_usd,high,new,
0x435664008f38b0650fbc1c9fc971d0a3bc2f1e47,2025-03-01,674,658,Unknown Pool,TOKEN0,TOKEN1,500.0,0.0005,stablecoin,674.0,674.0,0.0,674.0,0.0,1.0,0.0,501.0,552.3333333333334,471.0,578.0,other,high,new,
0x48da0965ab2d2cbf1c17c09cfb5cbe67ad5b1406,2025-03-01,464,449,Unknown Pool,TOKEN0,TOKEN1,500.0,0.0005,stablecoin,464.0,464.0,0.0,464.0,0.0,1.0,0.0,540.0,450.3333333333333,563.0,548.7142857142857,other,high,new,
0x4e0924d3a751be199c426d52fb1f2337fa96f736,2025-03-01,55,55,LUSD/USDC,LUSD,USDC,500.0,0.0005,stablecoin,55.0,55.0,0.0,55.0,0.0,1.0,0.0,44.0,34.333333333333336,52.0,42.142857142857146,other,high,new,
0x5777d92f208679db4b9778590fa3cab3ac9e2168,2025-03-01,500,485,DAI/USDC,DAI,USDC,100.0,0.0001,stablecoin,500.0,500.0,0.0,500.0,0.0,1.0,0.0,409.0,366.0,359.0,414.8571428571428,major_usd,high,new,
0x5aa1356999821b533ec5d9f79c23b8cb7c295c61,2025-03-01,17,17,Unknown Pool,TOKEN0,TOKEN1,500.0,0.0005,stablecoin,17.0,17.0,0.0,17.0,0.0,1.0,0.0,3.0,6.666666666666667,9.0,9.142857142857142,other,medium,new,
0x5c95d4b1c3321cf898d25949f41d50be2db5bc1d,2025-03-01,123,120,Unknown Pool,TOKEN0,TOKEN1,500.0,0.0005,stablecoin,123.0,123.0,0.0,123.0,0.0,1.0,0.0,95.0,93.66666666666669,84.0,93.28571428571428,other,high,new,
0x00cef0386ed94d738c8f8a74e8bfd0376926d24c,2025-03-02,12,12,Unknown Pool,TOKEN0,TOKEN1,500.0,0.0005,stablecoin,16.0,16.0,5.656854249492381,32.0,1.0,2.0,-0.4,3.0,9.0,19.0,13.857142857142858,other,medium,new,low_vol
0x13394005c1012e708fce1eb974f1130fdc73a5ce,2025-03-02,14,14,Unknown Pool,TOKEN0,TOKEN1,500.0,0.0005,stablecoin,14.5,14.5,0.7071067811865476,29.0,1.0,2.0,-0.0666666666666666,8.0,11.0,24.0,20.571428571428573,other,medium,new,stable
0x16980c16811bde2b3358c1ce4341541a4c772ec9,2025-03-02,4,4,Unknown Pool,TOKEN0,TOKEN1,500.0,0.0005,stablecoin,4.5,4.5,0.7071067811865476,9.0,1.0,2.0,-0.1999999999999999,13.0,9.0,6.0,7.285714285714286,other,low,new,stable
0x2bc477c7c00511ec8a2ea667dd8210af9ff15e1d,2025-03-02,5,5,Unknown Pool,TOKEN0,TOKEN1,500.0,0.0005,stablecoin,3.5,3.5,2.1213203435596424,7.0,1.0,2.0,1.5,18.0,8.333333333333334,3.0,27.428571428571427,other,low,new,low_vol
0x3416cf6c708da44db2624d63ea0aaef7113527c6,2025-03-02,2764,2730,USDC/USDT,USDC,USDT,100.0,0.0001,stablecoin,2648.0,2648.0,164.048773235279,5296.0,1.0,2.0,0.0916271721958925,3039.0,2130.6666666666665,2143.0,2146.0,major_usd,high,new,high_vol
0x435664008f38b0650fbc1c9fc971d0a3bc2f1e47,2025-03-02,673,668,Unknown Pool,TOKEN0,TOKEN1,500.0,0.0005,stablecoin,673.5,673.5,0.7071067811865476,1347.0,1.0,2.0,-0.0014836795252225,685.0,556.3333333333334,474.0,549.5714285714286,other,high,new,stable
0x48da0965ab2d2cbf1c17c09cfb5cbe67ad5b1406,2025-03-02,557,539,Unknown Pool,TOKEN0,TOKEN1,500.0,0.0005,stablecoin,510.5,510.5,65.76093065034893,1021.0,1.0,2.0,0.2004310344827586,782.0,525.3333333333334,491.0,539.2857142857143,other,high,new,high_vol
0x4e0924d3a751be199c426d52fb1f2337fa96f736,2025-03-02,36,36,LUSD/USDC,LUSD,USDC,500.0,0.0005,stablecoin,45.5,45.5,13.435028842544405,91.0,1.0,2.0,-0.3454545454545454,46.0,37.666666666666664,58.0,45.285714285714285,other,high,new,medium_vol
0x5777d92f208679db4b9778590fa3cab3ac9e2168,2025-03-02,486,478,DAI/USDC,DAI,USDC,100.0,0.0001,stablecoin,493.0,493.0,9.899494936611664,986.0,1.0,2.0,-0.028,604.0,405.3333333333333,324.0,391.7142857142857,major_usd,high,new,low_vol
0x5aa1356999821b533ec5d9f79c23b8cb7c295c61,2025-03-02,11,11,Unknown Pool,TOKEN0,TOKEN1,500.0,0.0005,stablecoin,14.0,14.0,4.242640687119285,28.0,1.0,2.0,-0.3529411764705882,15.0,8.0,33.0,12.285714285714286,other,medium,new,low_vol
0x5c95d4b1c3321cf898d25949f41d50be2db5bc1d,2025-03-02,140,140,Unknown Pool,TOKEN0,TOKEN1,500.0,0.0005,stablecoin,131.5,131.5,12.020815280171307,263.0,1.0,2.0,0.1382113821138211,114.0,85.0,87.0,85.71428571428571,other,high,new,medium_vol
0x00cef0386ed94d738c8f8a74e8bfd0376926d24c,2025-03-03,7,7,Unknown Pool,TOKEN0,TOKEN1,500.0,0.0005,stablecoin,13.0,13.0,6.557438524302,39.0,2.0,3.0,-0.4166666666666666,12.0,10.666666666666666,11.0,14.428571428571429,other,medium,new,low_vol
0x13394005c1012e708fce1eb974f1130fdc73a5ce,2025-03-03,9,9,Unknown Pool,TOKEN0,TOKEN1,500.0,0.0005,stablecoin,12.666666666666666,12.666666666666666,3.214550253664318,38.0,2.0,3.0,-0.3571428571428571,17.0,13.666666666666666,46.0,25.857142857142858,other,medium,new,low_vol
0x16980c16811bde2b3358c1ce4341541a4c772ec9,2025-03-03,4,4,Unknown Pool,TOKEN0,TOKEN1,500.0,0.0005,stablecoin,4.333333333333333,4.333333333333333,0.5773502691896257,13.0,2.0,3.0,0.0,6.0,9.666666666666666,2.0,7.0,other,low,new,stable
0x2bc477c7c00511ec8a2ea667dd8210af9ff15e1d,2025-03-03,1,1,Unknown Pool,TOKEN0,TOKEN1,500.0,0.0005,stablecoin,2.6666666666666665,2.6666666666666665,2.0816659994661326,8.0,2.0,3.0,-0.8,96.0,40.0,2.0,27.571428571428573,other,very_low,new,low_vol
0x3416cf6c708da44db2624d63ea0aaef7113527c6,2025-03-03,1333,1332,USDC/USDT,USDC,USDT,100.0,0.0001,stablecoin,2209.6666666666665,2209.6666666666665,768.0262582316657,6629.0,2.0,3.0,-0.5177279305354558,2443.0,2500.6666666666665,1473.0,2166.0,major_usd,high,new,high_vol
0x435664008f38b0650fbc1c9fc971d0a3bc2f1e47,2025-03-03,483,477,Unknown Pool,TOKEN0,TOKEN1,500.0,0.0005,stablecoin,610.0,610.0,109.98636279102968,1830.0,2.0,3.0,-0.2823179791976226,627.0,604.3333333333334,502.0,552.2857142857143,other,high,new,high_vol
0x48da0965ab2d2cbf1c17c09cfb5cbe67ad5b1406,2025-03-03,254,246,Unknown Pool,TOKEN0,TOKEN1,500.0,0.0005,stablecoin,425.0,425.0,155.21919984331836,1275.0,2.0,3.0,-0.5439856373429084,638.0,653.3333333333334,225.0,535.1428571428571,other,high,new,high_vol
0x4e0924d3a751be199c426d52fb1f2337fa96f736,2025-03-03,23,23,LUSD/USDC,LUSD,USDC,500.0,0.0005,stablecoin,38.0,38.0,16.09347693943108,114.0,2.0,3.0,-0.3611111111111111,45.0,45.0,51.0,49.285714285714285,other,high,new,medium_vol
0x5777d92f208679db4b9778590fa3cab3ac9e2168,2025-03-03,203,202,DAI/USDC,DAI,USDC,100.0,0.0001,stablecoin,396.3333333333333,396.3333333333333,167.57784260854217,1189.0,2.0,3.0,-0.5823045267489713,486.0,499.6666666666667,191.0,390.0,major_usd,high,new,high_vol
0x5aa1356999821b533ec5d9f79c23b8cb7c295c61,2025-03-03,6,6,Unknown Pool,TOKEN0,TOKEN1,500.0,0.0005,stablecoin,11.333333333333334,11.333333333333334,5.507570547286102,34.0,2.0,3.0,-0.4545454545454546,12.0,10.0,6.0,12.285714285714286,other,medium,new,low_vol
0x5c95d4b1c3321cf898d25949f41d50be2db5bc1d,2025-03-03,46,46,Unknown Pool,TOKEN0,TOKEN1,500.0,0.0005,stablecoin,103.0,103.0,50.08991914547278,309.0,2.0,3.0,-0.6714285714285715,104.0,104.33333333333331,69.0,89.0,other,high,new,high_vol
0x00cef0386ed94d738c8f8a74e8bfd0376926d24c,2025-03-04,17,17,Unknown Pool,TOKEN0,TOKEN1,500.0,0.0005,stablecoin,12.0,14.0,5.715476066494082,56.0,3.0,4.0,1.4285714285714284,22.0,12.333333333333334,8.0,13.142857142857142,other,medium,new,low_vol
0x13394005c1012e708fce1eb974f1130fdc73a5ce,2025-03-04,16,16,Unknown Pool,TOKEN0,TOKEN1,500.0,0.0005,stablecoin,13.0,13.5,3.1091263510296048,54.0,3.0,4.0,0.7777777777777777,40.0,21.666666666666668,27.0,27.428571428571427,other,medium,new,low_vol
0x16980c16811bde2b3358c1ce4341541a4c772ec9,2025-03-04,10,10,Unknown Pool,TOKEN0,TOKEN1,500.0,0.0005,stablecoin,6.0,5.75,2.8722813232690143,23.0,3.0,4.0,1.5,5.0,8.0,11.0,7.142857142857143,other,medium,new,low_vol
0x2bc477c7c00511ec8a2ea667dd8210af9ff15e1d,2025-03-04,6,6,Unknown Pool,TOKEN0,TOKEN1,500.0,0.0005,stablecoin,4.0,3.5,2.3804761428476167,14.0,3.0,4.0,5.0,52.0,55.333333333333336,4.0,27.285714285714285,other,medium,new,low_vol
0x3416cf6c708da44db2624d63ea0aaef7113527c6,2025-03-04,2020,1982,USDC/USDT,USDC,USDT,100.0,0.0001,stablecoin,2039.0,2162.25,634.2209788393947,8649.0,3.0,4.0,0.5153788447111778,1979.0,2487.0,1982.0,2160.5714285714284,major_usd,high,new,high_vol
0x435664008f38b0650fbc1c9fc971d0a3bc2f1e47,2025-03-04,501,494,Unknown Pool,TOKEN0,TOKEN1,500.0,0.0005,stablecoin,552.3333333333334,582.75,105.0472116082415,2331.0,3.0,4.0,0.0372670807453416,606.0,639.3333333333334,455.0,545.7142857142857,other,high,new,high_vol
0x48da0965ab2d2cbf1c17c09cfb5cbe67ad5b1406,2025-03-04,540,515,Unknown Pool,TOKEN0,TOKEN1,500.0,0.0005,stablecoin,450.3333333333333,453.75,139.16986024279825,1815.0,3.0,4.0,1.1259842519685042,507.0,642.3333333333334,558.0,537.7142857142857,other,high,new,high_vol
0x4e0924d3a751be199c426d52fb1f2337fa96f736,2025-03-04,44,44,LUSD/USDC,LUSD,USDC,500.0,0.0005,stablecoin,34.333333333333336,39.5,13.47837774610382,158.0,3.0,4.0,0.9130434782608696,49.0,46.666666666666664,30.0,47.285714285714285,other,high,new,medium_vol
0x5777d92f208679db4b9778590fa3cab3ac9e2168,2025-03-04,409,392,DAI/USDC,DAI,USDC,100.0,0.0001,stablecoin,366.0,399.5,136.97323339494716,1598.0,3.0,4.0,1.0147783251231526,357.0,482.3333333333333,385.0,386.57142857142856,major_usd,high,new,high_vol
0x58b8a1cae4c8eede897c0c9987ff4b5714ef3975,2025-03-04,1,1,Unknown Pool,TOKEN0,TOKEN1,500.0,0.0005,stablecoin,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.6666666666666666,2.0,1.1428571428571428,other,very_low,new,
0x5aa1356999821b533ec5d9f79c23b8cb7c295c61,2025-03-04,3,3,Unknown Pool,TOKEN0,TOKEN1,500.0,0.0005,stablecoin,6.666666666666667,9.25,6.13052471924984,37.0,3.0,4.0,-0.5,8.0,11.666666666666666,9.0,13.142857142857142,other,low,new,low_vol
